hCT0x9JiGXBQ,58125,varzea paulista,SP
PxA7fv9spyhx,3112,armacao dos buzios,RJ
g3nXeJkGI0Qw,4119,jandira,SP
EOEsCQ6QlpIg,18212,uberlandia,MG
mVz5LO2Vd6cL,88868,ilhabela,SP
UkqnhxmX7YMP,25902,porto uniao,SC
85jiDiGSfhTu,4762,guarulhos,SP
gDdkaN8b9s1g,75870,mogi-guacu,SP
9Csx6oXlpLl1,69068,bebedouro,SP
gZTPKLPRnreg,20921,sao paulo,SP
TDEBQrhIwApB,1223,itaperuna,RJ
1k71TCYNFCzj,11703,serra,ES
IfWKDQHkjLDd,32407,sao goncalo,RJ
kZ0rkJCJ6N5y,13843,mogi das cruzes,SP
zsCKIdqYLV01,2961,caico,RN
FrEvnEiMKGpr,28630,sao paulo,SP
3zvaY9gUH9bO,59020,barra mansa,RJ
bUornDCZmRD4,3440,sao paulo,SP
qEVfsXFU3er9,3936,apora,BA
mPg90mQwmDOP,85140,brasilia,DF
v6GelvnCrAk5,18500,sao paulo,SP
lZ0pUFQvjZNA,37589,lorena,SP
ckZATUjYdFd3,54070,sao paulo,SP
GuxDt46GwQEd,95912,canoas,RS
SPV4UclettEh,75132,nova iguacu,RJ
GpdbWoJi61Qc,20011,caruaru,PE
KD8KlSTtIm3Z,85155,sao lourenco da mata,PE
QU7yWUgfIpJX,35360,novo hamburgo,RS
rgjb3WchpjHg,57690,goiania,GO
JyHhNu9cbCo1,57180,belo horizonte,MG
Jw0zo2CWiEs7,95925,sao paulo,SP
MXiUFyGLUs2Z,89031,nova serrana,MG
oiBrZODbJTvz,17017,guacui,ES
mcuPjOLRkNpR,77807,sao paulo,SP
yOjH9Exn64WQ,11680,sao paulo,SP
yca6TkmY4yQm,50720,sao joao de meriti,RJ
LooHWGt3K5gp,88650,sao pedro da uniao,MG
oZqYD7eyV1EJ,93346,brasilia,DF
0hj86xqZbYSV,53610,sao jose,SC
l2wCGNSY1l3Z,58900,itatiba,SP
ukZ709Rl8bdF,3809,sao paulo,SP
iFsAJRrzVaTS,4932,sao paulo,SP
tSG89uyaK6MS,66040,ribeirao preto,SP
Ex7BhwPvrGyQ,4551,santana do acarau,CE
f4Frm4WEvj1g,45890,sao paulo,SP
ORO4ADUB1jHd,83075,curitiba,PR
jQ0u9oBPe3Mg,79620,sao paulo,SP
0I8vL0BlM1p1,2943,atibaia,SP
JtX09eqY5lk3,74943,sao paulo,SP
sk3z82bQhZAO,25651,recife,PE
eSqRKROmKF9Y,65210,florianopolis,SC
SNzA2roBQaGK,31744,rio de janeiro,RJ
IGPOK4wVaGbv,13065,taubate,SP
45WzrefbE0kB,99025,sao paulo,SP
dGD1MVag3snm,1050,curitiba,PR
EI8c9beFpTSQ,75388,santa ines,MA
YanexVtkhb2B,6810,santos,SP
iaDXrhsLGSc6,40354,belo horizonte,MG
hWGGX7sEla9R,36090,araras,SP
MNcdWG4E5iDb,72548,brasilia,DF
7mxdMPX1ERJj,9445,uberlandia,MG
JJe2PPwxISzG,25545,santa cruz do rio pardo,SP
cnalXbv8lRur,65302,cubatao,SP
Vpl3DrXMAEhb,65935,itapolis,SP
cWwtMYBNlwy1,98010,porto alegre,RS
bEh2OYyGVzcI,59075,timoteo,MG
3JeAegsqlpZ1,65510,sao paulo,SP
6gl6qALuNSUL,6394,claudio,MG
rAV7gKaOWkEy,71740,bofete,SP
CiOHqzRk5bbt,9603,manhuacu,MG
tIPFV5qJBgvT,78885,tatui,SP
yD2x7GOSsjqA,76470,governador valadares,MG
a9gFQyCfrVym,3920,parnaiba,PI
dXsploeBzop3,2757,curitiba,PR
9tQzKeNKhIoQ,3809,sao paulo,SP
TLYzpBJ3Cbnv,4854,uberlandia,MG
J2bElQYq3gEQ,11446,carapicuiba,SP
lFEdYUjKo6tu,48010,bom jesus da penha,MG
8tpStNEuJ43p,26293,porto alegre,RS
qvo2fc2aRUvp,63515,itu,SP
pk1Ke0Nxac36,33930,rio de janeiro,RJ
UlqYPqEYgETA,8535,nilopolis,RJ
M7wmpVTfmiFp,25545,santa cruz do rio pardo,SP
4YfVSBGWPVdv,30662,santos,SP
pqIfz7jRxaKh,7911,sao bernardo do campo,SP
5XGKxFrzDdYP,25804,caiua,SP
oWBBqGwqpx4m,75630,bom jesus,PI
EeCs1w6JNdPU,39363,primavera do leste,MT
hgHQgpZ9rVHu,95870,itajai,SC
uvuFFZDOAlU7,93410,sao paulo,SP
bVaqeOVzrNj1,58580,niteroi,RJ
EZkjVsEKMQF0,88130,araraquara,SP
LkYwWbX35V3p,36700,sao paulo,SP
paCiJAGDh54D,12053,piracicaba,SP
wuCRBXrAQIyN,86375,goiania,GO
jsuJ85mr7Rlb,31525,guarulhos,SP
7qqTmdyVGDMP,99990,sao goncalo,RJ
ebCRKHmjYa2q,82640,joinville,SC
ap5gXjoc79ju,48020,sao paulo,SP
63cb18M1Z31w,4114,ibirite,MG
cIIcBGeYxzLl,21640,palhoca,SC
asn6Y9BiG6Ma,2261,curitiba,PR
MdXOdiX1GYJB,25560,itupeva,SP
DFT8eetndqim,99250,monte azul paulista,SP
pfARTA1RWJhn,26140,joinville,SC
G7fLaaLEAieo,44092,concordia,SC
VOohNhPUdkDS,3274,araraquara,SP
dvl5K6eo1ouv,62800,osasco,SP
Nxs89iJKBJ8Z,2185,jundiai,SP
fo2DhPj0geOU,5642,januaria,MG
ufG7Q9l2g5Dn,25680,sao paulo,SP
uJZ6s76zSxtN,95173,campinas,SP
gngo3QnJVUXB,56460,sao paulo,SP
HtPYXtaKFzex,49180,belo horizonte,MG
xIjzSNbQQ1uw,94451,sao bernardo do campo,SP
3qJ5VThdsczu,6010,uberlandia,MG
lZCaJq9iYKt0,59015,brasilia,DF
ncBjZzosb18g,29330,dom pedrito,RS
E1CIwdUAL7mV,4734,rio de janeiro,RJ
QsVvy2vjoqJ2,88350,passo fundo,RS
eWPTvp2Uxgjr,70298,dourados,MS
SDjEL1DMM89j,3974,assis,SP
A5ypt74Dm5ED,39900,acarau,CE
M8toooCMGG65,39625,porto alegre,RS
YeToIjRZbK1b,4832,sao paulo,SP
zwFtWWaE2Ja8,37305,vera,MT
Yu7y0eUjrMjF,1414,sao bernardo do campo,SP
tvBnqB57rQrh,2634,betim,MG
EmOTT0NimdgC,64080,resende,RJ
3QWW2QATQoks,2247,maua,SP
9U87V4FA6owh,70865,sao paulo,SP
LGiyKX8bqvRl,59300,telemaco borba,PR
JG5L1Y6huM3k,26572,peruibe,SP
grsbZ5L1H5ty,19030,monte carmelo,MG
ZLVSgLGIBt50,85303,assis,SP
LFLEYmt3mGzI,29192,rio de janeiro,RJ
26bdBz0weg9K,28145,carapicuiba,SP
iWDrWao0rL2O,89108,taubate,SP
6rX0opAYaf5O,92323,santos,SP
WnCydkx96ul3,13609,buenopolis,MG
frNd2yIHhY1X,76390,paranaita,MT
5aMM3LwvZE6p,9655,recife,PE
5nowe7IWIlDi,2932,sao paulo,SP
nOJb8kxjeqMu,89202,caxias do sul,RS
qVYMpdAeuyNn,31746,campinas,SP
9QRPPukPDKtj,37136,betim,MG
ejNZQ7X7x2T3,94950,teresina,PI
Aecwfm7Hmsal,13170,cascavel,PR
tc4f86hhYwpB,95250,salvador,BA
u1gplSGJr1m5,11661,salvador,BA
JOJJwXBnFMcH,83411,curitiba,PR
txfGakDnlUkr,35325,lagoa d'anta,RN
Hv2CJ4UgONx7,26263,betim,MG
aptoeeHlIxbP,33120,ribeirao preto,SP
Df666drgmPfx,42721,paranagua,PR
DRJMerHUON15,6690,matupa,MT
7oijac5SpbW5,4690,guarulhos,SP
N9TistbY5amC,4880,sao jose dos campos,SP
CWALhpNIASHI,95835,carapicuiba,SP
jnoKHCWQzJID,79115,lencois paulista,SP
eKhyaqjCe7PA,24310,campo mourao,PR
0XrxfhxhjXYE,74660,rio de janeiro,RJ
yBX7ugjJOTSS,6030,itumbiara,GO
oCaEiLxD6fHF,45710,sao paulo,SP
I94cAhDO80TM,35470,ferraz de vasconcelos,SP
nyVwdmiDhhG6,39780,belo horizonte,MG
uQoGZ4NfZUsh,35894,conchal,SP
5dFJ3hGKYymc,89970,ipatinga,MG
fvrCaNELssNc,97385,sao paulo,SP
g0UqYq0z41XR,74460,niteroi,RJ
VBhPvelXEBtq,95181,diamantino,MT
TSar8iKGBFdD,88704,niteroi,RJ
YsC9HcNGEOnJ,15010,cabralia paulista,SP
UXwfLujVOTVL,60175,jarinu,SP
sllkB0XGYrxT,83413,taubate,SP
OSFTagz8LUCX,64645,sao paulo,SP
IG0zdwpicn3n,3185,florianopolis,SC
gvNtQarZgOr8,28664,aracaju,SE
YeOwwF3fdWgu,66115,jundiai,SP
HTmirdxNO6w3,3553,niteroi,RJ
ROKLVaGH8de0,75220,duque de caxias,RJ
vqxOoMq59uav,2532,blumenau,SC
RoIfzwKM1yvo,3928,rio de janeiro,RJ
E1orXI8bLrNV,89065,sao paulo,SP
FOHBkie5YOyT,7273,sao luis,MA
e2pbPEjaeR6m,66035,rio de janeiro,RJ
elCsLJhTBJtl,55590,paraty,RJ
rCX2RwzGubEQ,78455,mogi das cruzes,SP
xbIMznITKpTA,87709,conceicao de macabu,RJ
BKYTz5VyeBBd,17034,brasilia,DF
abN6KF4qdL4n,4859,sao bernardo do campo,SP
Azn5ULeYYh8s,9160,santos,SP
78uia3DgAfNK,12960,santa isabel,SP
Py7WXu4L3Wmi,65870,guarulhos,SP
CFLESwh13Z7B,64820,adamantina,SP
SaNj4MhzahVL,69099,salvador,BA
qk3Ys1QXliaP,26113,barueri,SP
4JEusie8wqjJ,98465,limeira,SP
NvTNauiH1qDG,75713,osasco,SP
HFRFmaPKlKMJ,18380,sao goncalo,RJ
KC8GYZZaxJut,89868,sao paulo,SP
1GWMLfIMdj4c,29970,alfenas,MG
MqcXipRNMkYz,23070,vitoria,ES
ILqTIy6lgDe6,95055,campo grande,MS
qok4zm9Soojy,2368,sao paulo,SP
K344NrOcLCky,48030,salvador,BA
Q8Lv1HumoePe,13290,itajai,SC
8Y14XQoJK8Ha,23911,rio de janeiro,RJ
lZxA6yRvTQOj,89690,florianopolis,SC
nodpgJjEkMSi,55016,caratinga,MG
9tBiIII0TOJc,18707,florianopolis,SC
wu4LLpEktWbt,74680,garanhuns,PE
wMofpXKFWSfh,13060,maua,SP
2gkH6jQ35V6r,36328,ribeirao preto,SP
KmfdV8VuGWM8,18143,ariquemes,RO
DZQwRhEhGk0D,7064,diadema,SP
PXqEjREEffav,62190,niteroi,RJ
orIYzq1FFngF,68505,morrinhos,GO
XBdsnwLCiVEB,62400,londrina,PR
XojCouERzFos,32425,goiania,GO
5j1oYFmufbg3,88816,erechim,RS
bF5K2Cy2Z7ti,57545,guaruja,SP
0P8fiFGwbcyB,6056,brasilia,DF
RwArI5y9MN7r,58027,rio de janeiro,RJ
SpZjRYzPDtxp,65293,sao paulo,SP
xe0n3nVehHaT,8051,niteroi,RJ
waMZKYMRuVn2,58195,fernandopolis,SP
GUzQDRVGumYn,82030,sao paulo,SP
qPcKrtMv39Ny,31170,sao paulo,SP
weHkbjfrV556,51021,nova iguacu,RJ
qkLJoaytabZ0,52150,goiania,GO
mpDGFN6xdUn7,6535,carapicuiba,SP
sNJV5Gu55TZU,70722,aparecida de goiania,GO
G9BomGyiASFC,3870,sao paulo,SP
U6mP30pWiUQe,74825,sao paulo,SP
C2neZlovyKdO,96508,goiania,GO
zYGWePUn88Up,30666,alto boa vista,MT
jNtpBPyIRlVh,2672,bombinhas,SC
ZmQxYSc3Pkep,41612,sao paulo,SP
kUuQFMv8ogyX,20040,tubarao,SC
QCRBg1XfOOjC,11703,serra,ES
G1xpdgzhaH2L,76934,fortaleza,CE
jLJ0UsbRochy,29735,guaruja,SP
mdegAh8lW0zh,45615,rio de janeiro,RJ
XHcb3dwn67J0,13601,sao paulo,SP
J8tIqKe7Lwty,2913,sao paulo,SP
tD2qw06fKcBX,2560,maua,SP
jOwLUQxf2vs7,59700,sao bernardo do campo,SP
Aih9DU6s8oyK,71971,anchieta,ES
DAue1YHraRsj,39625,porto alegre,RS
lOWywMERsxp0,31540,rio verde,GO
32bFKHvMMEMv,27933,salinas,MG
pFnZuW57EJTb,65605,macae,RJ
qZiLCVLOzw0L,68640,rio de janeiro,RJ
5ScAfYqpztVr,58027,rio de janeiro,RJ
PkOW7Cbf1rU5,12908,ourinhos,SP
Q9msAR1VvoH1,75906,rio de janeiro,RJ
5S0TZfFeWPJY,64764,cariacica,ES
OU8Z7zF81JnT,62940,jacarei,SP
BDzndD4z9i8L,57520,sao jose dos campos,SP
a6lBUx2AmE65,28911,maringa,PR
lqQQsrkprasJ,58195,fernandopolis,SP
XTOCrs09YhZc,85825,sao miguel do iguacu,PR
it7WXIogmstw,59518,teresopolis,RJ
JOACXMuORdtc,11310,palmeira das missoes,RS
yupMoEFfDnE6,93525,rio de janeiro,RJ
H0nuPXkLsYFV,30315,serra,ES
r9lY5RrZLPkE,45055,sao gotardo,MG
dxaR7zuMZLgv,72329,rosario do sul,RS
baOQZP8fmfKu,11664,rio de janeiro,RJ
q1JW0zZ8t77Z,48925,curitiba,PR
kgaRisbWkR8S,99350,campos dos goytacazes,RJ
AWTTxA4Co08L,57520,sao jose dos campos,SP
LJGTAEWNa0kn,7121,sao sebastiao do alto,RJ
gHIMze7jfJUK,88374,sao paulo,SP
BUGMPRmV0G7u,9641,itueta,MG
qGZel9QhDI8k,3966,pitangueiras,SP
siCyyCHgC5RU,60160,belo jardim,PE
AXZAKk41nNaN,52090,sao paulo,SP
OfMjFMFtGloy,57084,gurupi,TO
m3LhGnVaiRSE,2978,sao paulo,SP
rmFc8ZT8QAFE,14801,rio de janeiro,RJ
FyFlugMB18oj,4567,itanhaem,SP
1HB2U2sb6O4I,23070,vitoria,ES
77lm2vFcJFw7,6343,piracicaba,SP
LdivnAK1VWzF,65480,sao paulo,SP
OKSc9zMvBf3H,74954,sao paulo,SP
YpVY4KIM3kpF,58187,sao joao da barra,RJ
I4ORWasAtn2t,86990,mogi das cruzes,SP
sGbCOPBJBIGl,57036,natal,RN
jV8iADqbmykv,5018,taubate,SP
EgtRXe3XSoXX,71905,sao paulo,SP
vIv7e64Weojr,5586,sao bento do sul,SC
f0McnuJJg7y7,72506,granja,CE
w4gVmc7ZPB7J,89888,jandaia do sul,PR
DxOIWqM5WfD9,81220,rio de janeiro,RJ
niuqvDhsbEh8,11010,porto alegre,RS
wXlHYtczLH4a,60010,belo horizonte,MG
NDyqAszwpmxL,45065,sao paulo,SP
ix0IHcRs0FhV,12830,manaus,AM
KWvYwxFj89oa,59012,franca,SP
vHB4wi1rw7yJ,5582,contagem,MG
SkyzvQhclOjl,7861,porto alegre,RS
eGMfCgBLlg0f,94410,sao paulo,SP
7TsE2duwQ56v,65036,coronel freitas,SC
IcpG2VytJuOz,13171,osasco,SP
CMzWm8HwIEmO,99190,rio de janeiro,RJ
y3TdpB1uofUy,70238,campinas,SP
jR6aMohAuoS4,26535,rio de janeiro,RJ
fhyuZMq5ShwO,7854,sao paulo,SP
0t5EtElaEA8e,71909,sao paulo,SP
cf8KM8v09yFJ,86078,sao paulo,SP
RLR3Jci7EXFZ,72145,curitiba,PR
0ShwdFYw9sTD,5584,marilia,SP
lpnDqjklOzIA,71698,curitiba,PR
asSHqDT749oJ,9684,sao carlos,SP
MhqK5dPuLYq2,87270,curitiba,PR
tvF46j0D02zc,65074,rio de janeiro,RJ
o2XHJSQDVUjH,54120,sao paulo,SP
A2TCBWxtXciV,89095,aracaju,SE
LxPsuAedB4QS,13610,santana,AP
FIE7qnYGWctO,96075,sao paulo,SP
tZilI8V0g1e0,91150,santo andre,SP
kSoHzbViRklm,48475,jequitinhonha,MG
PqmwLFfBnOBx,4844,novo hamburgo,RS
5dXseDWEmiMC,46550,sao paulo,SP
KUQIrn86ttIe,15160,sao paulo,SP
KuWnR59U1FPy,68665,garanhuns,PE
k2pIrgPtCGma,2441,ivoti,RS
yhYEYeGAUIUp,6630,turvelandia,GO
Ct3CALEeBTfd,17600,sao paulo,SP
uYWZFxT8YNW8,76195,sao paulo,SP
uiQXR8amJUZ5,2126,sao goncalo,RJ
J2eUP3qQRX21,74932,cornelio procopio,PR
f5osd5e09qiH,89035,sao paulo,SP
Clcqfbd0dHQy,5858,ibaiti,PR
wogvLVoYwlWu,59380,itajuba,MG
UJAKUaIGlRn3,24119,contagem,MG
JKRYqZKJtJZE,9691,sao paulo,SP
wlZXim18Y5wp,4015,rio de janeiro,RJ
V2yQapEqeiQ6,5707,conselheiro lafaiete,MG
XVlW6vVBrmk6,5521,cabo frio,RJ
fAmGDfYoJrNI,13973,cruz alta,RS
xCiOfWxQ7Btv,16025,aracaju,SE
0EzNwB0wYA0w,82300,andradina,SP
eQaIzzVXvSVe,85423,fortaleza,CE
Eyr64dIilcgM,4567,itanhaem,SP
Nsa1cccryn3Q,99450,laguna,SC
GtjbUb6VvhUd,7221,barra velha,SC
RR1YZ96cZobY,30662,santos,SP
c6jqSw2fKK1m,15042,curitiba,PR
fQp5U82OnxIM,15154,camacari,BA
pV5CMhjRA4BD,1534,lavras,MG
5rqBHhb2Lu0d,14990,diadema,SP
Vbad86A2kO7h,70872,fortaleza,CE
sonYdrcofFIt,1138,salvador,BA
YzjQ1d4ODDkP,4612,sao paulo,SP
MtMtwGLv0AAT,40070,guarapari,ES
cZEYe5ZKG6Ze,4274,rio de janeiro,RJ
WZCFk7SWMFFm,6844,taubate,SP
suzK9f0sEvIi,93214,sao paulo,SP
4Bv5yXlke7qp,17860,santo andre,SP
cNow1DF5YxjX,41231,volta redonda,RJ
3Ll46Tj9RN0q,16670,fortaleza,CE
CuXTYUcBde3A,88868,ilhabela,SP
kpZeu9Hs5XXS,6810,santos,SP
pJbXZRS0sqqS,11088,embu das artes,SP
M0P5DHWYoZPr,35740,itajuba,MG
WJ0q80kQ7mZH,37278,campanha,MG
318n0db79d19,89253,uba,MG
8xqmTu5tWixx,9160,santos,SP
JRAkBW52ylzK,50100,sao paulo,SP
82FOTwe8xDKO,58069,sapucaia do sul,RS
liwpNZL3DOZJ,3962,rio de janeiro,RJ
oyP6xO7xWbXU,2519,rio de janeiro,RJ
7mxhG9PYa0St,3942,santana de parnaiba,SP
7CbZKrOjHS4p,70253,rio de janeiro,RJ
PZ5SLcuCD4Yu,2213,nova lima,MG
xydnwS2B3vnq,6443,belo horizonte,MG
fSoEDQavGSYo,37036,sangao,SC
k4jj7bTV7KmF,77940,perdigao,MG
QlaBWwflyrZE,71200,cariacica,ES
Jzld306kU0gs,38749,indaiatuba,SP
4A1nimyUtrUc,53350,duque de caxias,RJ
XX2dJ9DXoJxM,31744,rio de janeiro,RJ
D4td8E6o42m6,59275,porto alegre,RS
BRLLIQSyAdJL,71065,amparo,SP
foSnpCEnGhUf,2436,jucurutu,RN
P6cZmNiSsPET,99712,sao paulo,SP
ubqgVrx7Q6VP,3940,cotegipe,BA
0N5XKb26IvYY,83010,maringa,PR
zf5qacELJXoq,64003,joao pessoa,PB
lYUoEtPmJ3Ec,29047,teresopolis,RJ
bsKMNBf3TtKo,65051,rio de janeiro,RJ
BQrXeVYPxqjC,75630,bom jesus,PI
Gv4L7KQQIHYo,4416,cachoeiro de itapemirim,ES
zCLkW72kCLsN,4689,sao paulo,SP
NPnOZtUOru3M,88430,rio de janeiro,RJ
u4hRRgVMxNTn,35230,parnaiba,PI
tkakHcVpbwX6,36606,sao paulo,SP
4KLZy11ffOBh,11679,sao paulo,SP
raO6T3ZRgYFO,2464,sao paulo,SP
WIP8NXN0UPhn,3678,guarulhos,SP
bjeelhNkZcyv,3710,belo horizonte,MG
ZVNvIsLUX7Ow,61658,feira de santana,BA
WcVycaMeJ4gS,63125,sao paulo,SP
kzwYrZU61Z4q,79530,santa cruz das palmeiras,SP
G6MX3ES0McR8,76386,porto alegre,RS
mUpYzU9GRF4C,89113,piedade de caratinga,MG
cQuboCzfXNZr,4470,tres coracoes,MG
wzKCnrsGrhPT,11703,serra,ES
J12B3ZAghOYC,80520,novo oriente,CE
iVkQDCNUtDjj,53610,sao jose,SC
UE4JY3IxQWBi,48840,rio de janeiro,RJ
Ne3XkcBUVu8b,58540,rio de janeiro,RJ
4GshpMTgfphC,70331,joao pessoa,PB
MCJjhEvGihoi,37940,barra do pirai,RJ
Qq0Ot1OJIGWr,5712,mariapolis,SP
JOfDxyqX9fkr,4054,goiania,GO
pl1k9l5U9S8e,9785,jundiai,SP
PSsOpTjyt9Wi,13337,sao paulo,SP
RIwtPliUhQqd,21210,rio do antonio,BA
krPjYIHB5zZO,2012,sao paulo,SP
jKjvNEBa2aca,93212,piracicaba,SP
92M1ZSNwBu4x,89259,sao paulo,SP
Sv2DgoaKSvpO,74660,rio de janeiro,RJ
w6vMShfahXuV,13349,ji-parana,RO
4dXpFDzeEjZN,11542,sao paulo,SP
8dkyClEJJOYa,65606,sao luis,MA
DdZ29jlHHmyY,74840,janauba,MG
YPU900q1t2YI,21020,curitiba,PR
pHOHna6m77aV,88570,carapicuiba,SP
L02EQ9VH35mB,87860,lajeado,RS
sq0rbPHjliJf,7835,valenca,RJ
JQKGVe0QMCMH,2873,sorocaba,SP
BtHimucWMyxR,69086,niteroi,RJ
SGhJNvVg9Xi0,39645,santos,SP
KYzOqTmXicFK,5547,diamantina,MG
v0LHJSIsjfmf,1127,americana,SP
ETxNSyUi9shg,80540,sao paulo,SP
pYxdTfdytZ2g,58675,linhares,ES
ynxUzbdIr3w3,3004,sao paulo,SP
lJEOyEyJeAQ3,32675,porto alegre,RS
rxjKzexaNB9k,37245,florianopolis,SC
Hnvi7ZKd3ViY,19230,itatiba,SP
E5gUJ12UZIcN,1254,sao paulo,SP
Ms31JGlld0AB,12228,pedro leopoldo,MG
qVQXahZZS0J5,29240,rio de janeiro,RJ
lT6im48NY8vz,3401,niteroi,RJ
q2FJe6vCRDrC,48967,itacare,BA
XtOyBmJp0LUi,65470,cocal do sul,SC
JpUSpyQNnUFU,9445,uberlandia,MG
x4edkJFvuVsU,4144,florianopolis,SC
KWppLJ3KkTqt,74375,guarulhos,SP
hi55tQkf1YUb,60861,salvador,BA
GyvnEFzj1eSn,36590,piracicaba,SP
8H9DOt7c6rdA,12305,juiz de fora,MG
gfqX2v3f4RPq,6130,sorocaba,SP
BW8Lo9R5OCBF,55250,itabira,MG
juTccWeP0t36,9750,coribe,BA
yZHCoK29gkLY,93218,sao paulo,SP
1ZcxU7AQGZ9F,45157,feira de santana,BA
lhqcordf2lwr,49190,cosmopolis,SP
yBkaZti5rtw3,58068,sao paulo,SP
uWLhlCUxUAvB,13060,maua,SP
HrmPH3YugHtK,22061,sao paulo,SP
mrR5h0AEdYi6,3433,para de minas,MG
ngktKR1wEcBm,85860,ponta grossa,PR
tiR8d0Kh5Jc6,65046,recife,PE
fa3w4QbR495z,65335,florianopolis,SC
3p6GlBbXYyIE,12216,suzano,SP
g3Zqo0PFbDqc,4137,araras,SP
BDA2JVxE7ftl,21760,belo horizonte,MG
ydAOeYfFxXaF,40280,jardim olinda,PR
T1Wpepr3o18t,3378,limeira,SP
WVv4miDDo0eX,4231,brasilia,DF
bNeRqMLIiSra,35064,bauru,SP
4OtrRICCPJjt,44024,conselheiro lafaiete,MG
3V9lD01x1gJn,2861,lima duarte,MG
ra74PYXYSXiJ,25680,sao paulo,SP
lFYmOcPHaoiu,6845,petropolis,RJ
v1l7AIjVmt79,5367,sao bernardo do campo,SP
9sOKJY1Egnyx,75144,birigui,SP
iFx9nhKebrl7,64002,santana do paraiso,MG
KRONM1dA2lfQ,1551,sao paulo,SP
tiLtxv9qmhyC,91540,brasilia,DF
8pUqAdsQsQDb,45078,nova iguacu,RJ
CeEUh3SwQawM,89234,sao paulo,SP
jqeaDO2nRwyL,70422,arcos,MG
DpynHQ1oNPfb,13841,manaus,AM
5vFPmIruPRJV,23897,sao paulo,SP
fGsOxoES4mx7,28905,curitiba,PR
sS1MpZqBZKal,29212,sao paulo,SP
v0XDhQrmh7fF,17057,candido mota,SP
bh2cF3JmJ2t9,78400,andradas,MG
pxR8dmNDPHII,1122,mogi-guacu,SP
0dwG62wm5EXo,7064,diadema,SP
1CTHWhRh08q8,66914,oeiras do para,PA
kg6PjPxXjsla,23525,rio de janeiro,RJ
fHVbWHVvFvAg,24411,araripina,PE
OQzGE68TCNmT,89245,silvianopolis,MG
